"response_id","experienced_maori","travelled_with_child_under_15","travelled_with_other_above_15","drive_yourself","qtr","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","no_days_in_nz","age_range","treated_spend","visited_island","spend_per_day"
"GEN24_1012415","No","Yes","Yes","Yes","1","Asia","Male","No","Visiting friends / relatives",10,47,5161.576667,"North",516.1576667
"GEN24_1012423","No","Yes","Yes","Yes","1","Oceania","Male","No","Visiting friends / relatives",14,37,566.6666667,"North",40.4761904785714
"GEN24_1012424","Yes","No","Yes","No","1","Europe","Male","No","Visiting friends / relatives",20,77,1934.949333,"North",96.74746665
"GEN24_1012426","No","No","No","Yes","1","Asia","Male","No","Visiting friends / relatives",20,47,2400,"North",120
"GEN24_1012438","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",20,67,6100,"North",305
"GEN24_1012445","No","No","No","No","1","Asia","Female","No","Visiting friends / relatives",69,77,5620.172815,"South",81.4517799275362
"GEN24_1012454","No","Yes","No","Yes","1","Europe","Female","No","Visiting friends / relatives",25,52,2321.9392,"North",92.877568
"GEN24_1012460","Yes","No","No","Yes","1","Europe","Female","Yes","Visiting friends / relatives",16,62,3289.338838,"North",205.583677375
"GEN24_1012461","Yes","No","Yes","Yes","1","Europe","Female","Yes","Holiday / vacation",11,62,8610.314691,"South",782.755881
"GEN24_1012464","No","Yes","Yes","Yes","1","Asia","Male","No","Holiday / vacation",9,47,5717.8528,"South",635.316977777778
"GEN24_1012499","Yes","No","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",12,42,3623.314112,"North",301.942842666667
"GEN24_1012505","No","No","No","No","1","Oceania","Female","No","Visiting friends / relatives",7,57,434.4501333,"North",62.0643047571429
"GEN24_1012506","No","Yes","Yes","Yes","1","Oceania","Male","No","Visiting friends / relatives",25,47,13866.66667,"Both",554.6666668
"GEN24_1012508","Yes","Yes","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",20,32,5708.100533,"Both",285.40502665
"GEN24_1012516","Yes","No","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",28,52,4072.97,"Both",145.463214285714
"GEN24_1012518","Yes","No","Yes","Yes","1","Europe","Male","Yes","Visiting friends / relatives",27,32,7171.889704,"Both",265.625544592593
"GEN24_1012523","Yes","No","Yes","Yes","1","Europe","Male","Yes","Visiting friends / relatives",18,57,10500.97003,"North",583.387223888889
"GEN24_1012525","No","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",16,37,903.2309467,"North",56.45193416875
"GEN24_1012529","Yes","No","No","Yes","1","Europe","Female","No","Visiting friends / relatives",30,52,971.39932,"North",32.3799773333333
"GEN24_1012530","No","Yes","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",21,52,1238.367573,"North",58.9698844285714
"GEN24_1012540","Yes","No","Yes","No","1","Americas","Female","Yes","Visiting friends / relatives",27,57,10877.59907,"South",402.87403962963
"GEN24_1012541","Yes","No","Yes","Yes","1","Americas","Female","Yes","Holiday / vacation",33,67,16197.3008,"Both",490.827296969697
"GEN24_1012548","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",32,62,16905.75659,"Both",528.3048934375
"GEN24_1012549","Yes","Yes","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",20,47,728.5714286,"North",36.42857143
"GEN24_1012587","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",23,62,1177.416669,"North",51.1920290869565
"GEN24_1012600","No","No","No","No","1","Africa and Middle East","Female","No","Visiting friends / relatives",17,37,2100,"Both",123.529411764706
"GEN24_1012607","Yes","No","Yes","Yes","1","Europe","Male","Yes","Holiday / vacation",34,62,12093.43333,"North",355.689215588235
"GEN24_1012608","No","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",23,52,1896.250347,"South",82.4456672608696
"GEN24_1012610","Yes","No","No","Yes","1","Europe","Female","Yes","Holiday / vacation",51,27,14080,"Both",276.078431372549
"GEN24_1012612","Yes","No","Yes","No","1","Americas","Male","Yes","Business",10,32,4255.761387,"Both",425.5761387
"GEN24_1012614","Yes","No","Yes","No","1","Europe","Female","No","Holiday / vacation",27,32,10084.02967,"North",373.48258037037
"GEN24_1012619","No","No","No","No","1","Europe","Female","No","Visiting friends / relatives",34,52,1189.99384,"Both",34.9998188235294
"GEN24_1012620","Yes","No","Yes","No","1","Europe","Male","No","Visiting friends / relatives",20,52,2250,"South",112.5
"GEN24_1012621","No","No","Yes","No","1","Europe","Female","No","Visiting friends / relatives",15,57,900,"North",60
"GEN24_1012624","No","No","No","No","1","Europe","Female","No","Visiting friends / relatives",21,42,580.4848,"South",27.6421333333333
"GEN24_1012630","No","No","Yes","Yes","1","Oceania","Male","Yes","Visiting friends / relatives",21,57,988.3740533,"Both",47.0654311095238
"GEN24_1012632","No","Yes","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",12,42,500,"North",41.6666666666667
"GEN24_1012636","No","No","Yes","Yes","1","Europe","Female","No","Holiday / vacation",20,37,3791.865767,"Both",189.59328835
"GEN24_1012640","Yes","No","Yes","Yes","1","Asia","Male","Yes","Visiting friends / relatives",17,62,9674.746667,"North",569.102745117647
"GEN24_1012647","Yes","Yes","Yes","No","1","Americas","Female","Yes","Holiday / vacation",7,52,1344.838377,"North",192.119768142857
"GEN24_1012659","Yes","No","Yes","Yes","1","Oceania","Male","No","Holiday / vacation",9,37,3350,"North",372.222222222222
"GEN24_1012661","Yes","No","Yes","Yes","1","Europe","Female","No","Holiday / vacation",7,57,11759.0444,"North",1679.86348571429
"GEN24_1012665","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",16,37,677.2322667,"North",42.32701666875
"GEN24_1012667","Yes","Yes","Yes","Yes","1","Americas","Female","Yes","Holiday / vacation",25,42,3362.5,"Both",134.5
"GEN24_1012679","No","No","Yes","No","1","Americas","Female","Yes","Holiday / vacation",8,57,2437.534973,"Both",304.691871625
"GEN24_1012687","No","Yes","No","Yes","1","Europe","Male","No","Visiting friends / relatives",22,47,1050,"Both",47.7272727272727
"GEN24_1012688","No","No","Yes","Yes","1","Europe","Male","Yes","Visiting friends / relatives",20,57,4837.373333,"Both",241.86866665
"GEN24_1012691","No","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",18,57,3144.292667,"Both",174.682925944444
"GEN24_1012693","No","No","No","Yes","1","Africa and Middle East","Female","No","Visiting friends / relatives",19,52,3000,"South",157.894736842105
"GEN24_1012712","Yes","No","Yes","Yes","1","Americas","Male","Yes","Holiday / vacation",11,27,5675,"Both",515.909090909091
